Mes,Año,Ingresos CFDI,Egresos CFDI,IVA Trasladado,IVA Acreditable,IVA Neto a Pagar,Utilidad Bruta,Saldo Acumulado
Enero,2024,85000.00,52300.00,13600.00,7200.00,6400.00,32700.00,32700.00
Febrero,2024,92000.00,55800.00,14720.00,8100.00,6620.00,36200.00,68900.00
Marzo,2024,78500.00,49200.00,12560.00,6900.00,5660.00,29300.00,98200.00
Abril,2024,105000.00,63400.00,16800.00,9200.00,7600.00,41600.00,139800.00
Mayo,2024,98000.00,60100.00,15680.00,8700.00,6980.00,37900.00,177700.00
Junio,2024,115000.00,70200.00,18400.00,10100.00,8300.00,44800.00,222500.00
Julio,2024,88000.00,54700.00,14080.00,7800.00,6280.00,33300.00,255800.00
Agosto,2024,120000.00,73500.00,19200.00,10800.00,8400.00,46500.00,302300.00
Septiembre,2024,96000.00,59800.00,15360.00,8600.00,6760.00,36200.00,338500.00
Octubre,2024,112000.00,68900.00,17920.00,9900.00,8020.00,43100.00,381600.00
Noviembre,2024,130000.00,79400.00,20800.00,11500.00,9300.00,50600.00,432200.00
Diciembre,2024,145000.00,88600.00,23200.00,12900.00,10300.00,56400.00,488600.00
