RFC Tercero,Nombre,Tipo Tercero,Tipo Operacion,Monto Operaciones,Base Tasa 16%,IVA 16%,Base Tasa 0%,Monto Exento,IVA Acreditable,Tipo Tercero DIOT
PRCO840215AB1,Proveedora Comercial SA,04,85,3000.00,2586.21,413.79,0.00,0.00,413.79,04
TELE920630CD2,Telecom Servicios SA,04,85,1500.00,1293.10,206.90,0.00,0.00,206.90,04
RENT780401EF3,Rentas Comerciales SA,04,85,20000.00,17241.38,2758.62,0.00,0.00,2758.62,04
SUMIN860805GH4,Suministros Ind SA,04,85,5400.00,4655.17,744.83,0.00,0.00,744.83,04
SERV950122IJ5,Servicios Tech SA,04,85,6000.00,5172.41,827.59,0.00,0.00,827.59,04
DIST810930KL6,Distribuidora Nacional,04,85,2000.00,1724.14,275.86,0.00,0.00,275.86,04
GASO760415MN7,Gasolinera Express SA,04,85,431.03,0.00,0.00,431.03,0.00,0.00,04
IMSS000000000,IMSS Cuotas Patronales,04,85,3200.00,0.00,0.00,0.00,3200.00,0.00,04
CFEN700101OP8,CFE Norte SA,04,85,1000.00,862.07,137.93,0.00,0.00,137.93,04
CONTA850620ST1,Contador Publico SC,04,85,4000.00,3448.28,551.72,0.00,0.00,551.72,04
